file,path,type,included,tables_extracted,rows_extracted
2002 and 2001 TandF EXTRACTS weltklasse Zurich incl RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 and 2001 TandF EXTRACTS weltklasse Zurich incl RT.xlsx,XLSX,NO,13,0
2002 and 2001 TandF weltklasse Zurich incl RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 and 2001 TandF weltklasse Zurich incl RT.xlsx,XLSX,YES,20,168
2003 2002 2001 2000 TandF EXTRACT zurich with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 2002 2001 2000 TandF EXTRACT zurich with RT.xlsx,XLSX,NO,0,0
2003 2002 2001 2000 TandF zurich with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 2002 2001 2000 TandF zurich with RT.xlsx,XLSX,NO,0,0
2003 TandF Bislett games with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF Bislett games with RT.xlsx,XLSX,YES,5,89
2003 TandF EXTRACT Bislett games with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF EXTRACT Bislett games with RT.xlsx,XLSX,YES,3,24
2003 TandF EXTRACT Italy with B level RT PB SB.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF EXTRACT Italy with B level RT PB SB.xlsx,XLSX,NO,0,0
2003 TandF EXTRACT St Denis with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF EXTRACT St Denis with RT.xlsx,XLSX,NO,0,0
2003 TandF Italy with B level RT PB SB.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF Italy with B level RT PB SB.xlsx,XLSX,NO,0,0
2003 TandF St Denis with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF St Denis with RT.xlsx,XLSX,NO,0,0
2003 TandF VanDamme.pdf,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF VanDamme.pdf,PDF,NO,0,0
2003 TandF handwritten Berlin with RT.pdf,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF handwritten Berlin with RT.pdf,PDF,NO,0,0
2003 TandF schedule golden gala.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF schedule golden gala.xlsx,XLSX,NO,0,0
2003 TandF various with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF various with RT.xlsx,XLSX,NO,0,0
2003 TandF weltklasse Zurich incl RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF weltklasse Zurich incl RT.xlsx,XLSX,NO,0,0
2003 TandF world womens list and 2000 mens list T&F news no RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF world womens list and 2000 mens list T&F news no RT.xlsx,XLSX,NO,0,0
2003 TandF zagreb.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 TandF zagreb.xlsx,XLSX,NO,0,0
2003 and 2002 TandF EXTRACT IIAF grand prix II and various.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 and 2002 TandF EXTRACT IIAF grand prix II and various.xlsx,XLSX,NO,0,0
2003 and 2002 TandF IIAF grand prix II and various.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 and 2002 TandF IIAF grand prix II and various.xlsx,XLSX,NO,0,0
2003 various and articles incl on RT and wind adjustment.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2003 various and articles incl on RT and wind adjustment.xlsx,XLSX,NO,0,0
2004 2003 2002 TandF Thales results with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 2003 2002 TandF Thales results with RT.xlsx,XLSX,NO,0,0
2004 2003 TandF Bislett games Bergen.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 2003 TandF Bislett games Bergen.xlsx,XLSX,YES,4,28
2004 TandF Athens olympics.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF Athens olympics.xlsx,XLSX,NO,0,0
2004 TandF Budapest with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF Budapest with RT.xlsx,XLSX,NO,0,0
